Date,Ticker,Close,Strategy,Short_Window,Long_Window,Raw_Signal,Position,Trade_Shares,Shares,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2022-08-16,MSFT,283.2066650390625,MovingAverage,5,20,1,1,0,1018,108.31229782104492,288412.69730758667,-0.002588824745718865,1.8841269730758667
2022-08-17,MSFT,282.4600524902344,MovingAverage,5,20,1,1,0,1018,108.31229782104492,287652.64573287964,-0.002635291656027383,1.8765264573287963
2022-08-18,MSFT,281.3450622558594,MovingAverage,5,20,1,1,0,1018,108.31229782104492,286517.5856742859,-0.003945939922443076,1.8651758567428587
2022-08-19,MSFT,277.447265625,MovingAverage,5,20,1,1,0,1018,108.31229782104492,282549.62870407104,-0.013848912487785747,1.8254962870407105
2022-08-22,MSFT,269.302734375,MovingAverage,5,20,1,1,0,1018,108.31229782104492,274258.49589157104,-0.02934398764042878,1.7425849589157103
2022-08-23,MSFT,268.0326232910156,MovingAverage,5,20,1,1,0,1018,108.31229782104492,272965.52280807495,-0.004714432197598262,1.7296552280807496
2022-08-24,MSFT,267.40240478515625,MovingAverage,5,20,0,1,0,1018,108.31229782104492,272323.9603691101,-0.0023503423889028596,1.723239603691101
2022-08-25,MSFT,270.3692626953125,MovingAverage,5,20,0,0,-1018,0,275344.22172164917,275344.22172164917,0.011090692675170377,1.7534422172164916
2022-08-26,MSFT,259.9365539550781,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-08-29,MSFT,257.1635437011719,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-08-30,MSFT,254.9722442626953,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-08-31,MSFT,253.5178680419922,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-01,MSFT,252.4803771972656,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-02,MSFT,248.2724151611328,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-06,MSFT,245.54788208007812,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-07,MSFT,250.24066162109375,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-08,MSFT,250.65760803222656,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-09,MSFT,256.4170227050781,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-12,MSFT,258.54034423828125,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-13,MSFT,244.32620239257812,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-14,MSFT,244.54917907714844,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-15,MSFT,237.9172515869141,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-16,MSFT,237.2967071533203,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-19,MSFT,237.08338928222656,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-20,MSFT,235.0763397216797,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-21,MSFT,231.68280029296875,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-22,MSFT,233.6510467529297,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-23,MSFT,230.68409729003903,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-26,MSFT,230.2284393310547,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-27,MSFT,229.22003173828125,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-28,MSFT,233.7383270263672,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-29,MSFT,230.2769012451172,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-09-30,MSFT,225.8168029785156,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-10-03,MSFT,233.41835021972656,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-10-04,MSFT,241.31076049804688,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-10-05,MSFT,241.6210479736328,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-10-06,MSFT,239.2843017578125,MovingAverage,5,20,0,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-10-07,MSFT,227.11602783203125,MovingAverage,5,20,1,0,0,0,275344.22172164917,275344.22172164917,0.0,1.7534422172164916
2022-10-10,MSFT,222.27781677246097,MovingAverage,5,20,0,1,1238,1238,164.2845573424711,275344.22172164917,0.0,1.7534422172164916
2022-10-11,MSFT,218.5545959472656,MovingAverage,5,20,0,0,-1238,0,270734.87434005726,270734.87434005726,-0.016740309103895346,1.7073487434005727
2022-10-12,MSFT,218.88426208496097,MovingAverage,5,20,0,0,0,0,270734.87434005726,270734.87434005726,0.0,1.7073487434005727
2022-10-13,MSFT,227.11602783203125,MovingAverage,5,20,0,0,0,0,270734.87434005726,270734.87434005726,0.0,1.7073487434005727
2022-10-14,MSFT,221.60874938964844,MovingAverage,5,20,0,0,0,0,270734.87434005726,270734.87434005726,0.0,1.7073487434005727
2022-10-17,MSFT,230.30593872070312,MovingAverage,5,20,0,0,0,0,270734.87434005726,270734.87434005726,0.0,1.7073487434005727
2022-10-18,MSFT,231.2465057373047,MovingAverage,5,20,0,0,0,0,270734.87434005726,270734.87434005726,0.0,1.7073487434005727
2022-10-19,MSFT,229.2879180908203,MovingAverage,5,20,0,0,0,0,270734.87434005726,270734.87434005726,0.0,1.7073487434005727
2022-10-20,MSFT,228.9679412841797,MovingAverage,5,20,0,0,0,0,270734.87434005726,270734.87434005726,0.0,1.7073487434005727
2022-10-21,MSFT,234.75636291503903,MovingAverage,5,20,1,0,0,0,270734.87434005726,270734.87434005726,0.0,1.7073487434005727
2022-10-24,MSFT,239.73033142089844,MovingAverage,5,20,1,1,1129,1129,79.3301658629207,270734.87434005726,0.0,1.7073487434005727
2022-10-25,MSFT,243.03665161132812,MovingAverage,5,20,1,1,0,1129,79.3301658629207,274467.7098350524,0.013787789637719428,1.7446770983505235
2022-10-26,MSFT,224.28480529785156,MovingAverage,5,20,1,1,0,1129,79.3301658629207,253296.87534713733,-0.07713415359729614,1.5329687534713732
2022-10-27,MSFT,219.85385131835935,MovingAverage,5,20,1,1,0,1129,79.3301658629207,248294.32830429063,-0.01974973846791772,1.4829432830429061
2022-10-28,MSFT,228.69644165039065,MovingAverage,5,20,1,1,0,1129,79.3301658629207,258277.61278915397,0.040207460851174215,1.5827761278915395
2022-10-31,MSFT,225.0701904296875,MovingAverage,5,20,0,1,0,1129,79.3301658629207,254183.5751609801,-0.015851306599755643,1.541835751609801
2022-11-01,MSFT,221.23060607910156,MovingAverage,5,20,0,0,-1129,0,249848.68442916858,249848.68442916858,-0.01705417326460268,1.4984868442916857
2022-11-02,MSFT,213.40606689453125,MovingAverage,5,20,0,0,0,0,249848.68442916858,249848.68442916858,0.0,1.4984868442916857
2022-11-03,MSFT,207.7339782714844,MovingAverage,5,20,0,0,0,0,249848.68442916858,249848.68442916858,0.0,1.4984868442916857
2022-11-04,MSFT,214.6568145751953,MovingAverage,5,20,0,0,0,0,249848.68442916858,249848.68442916858,0.0,1.4984868442916857
2022-11-07,MSFT,220.9397430419922,MovingAverage,5,20,0,0,0,0,249848.68442916858,249848.68442916858,0.0,1.4984868442916857
2022-11-08,MSFT,221.90933227539065,MovingAverage,5,20,0,0,0,0,249848.68442916858,249848.68442916858,0.0,1.4984868442916857
2022-11-09,MSFT,217.6819305419922,MovingAverage,5,20,0,0,0,0,249848.68442916858,249848.68442916858,0.0,1.4984868442916857
2022-11-10,MSFT,235.5902099609375,MovingAverage,5,20,0,0,0,0,249848.68442916858,249848.68442916858,0.0,1.4984868442916857
2022-11-11,MSFT,239.59461975097656,MovingAverage,5,20,1,0,0,0,249848.68442916858,249848.68442916858,0.0,1.4984868442916857
2022-11-14,MSFT,234.20372009277344,MovingAverage,5,20,1,1,1066,1066,187.51881027210038,249848.68442916858,0.0,1.4984868442916857
2022-11-15,MSFT,234.61094665527344,MovingAverage,5,20,1,1,0,1066,187.51881027210038,250282.78794479358,0.0017374656849475922,1.5028278794479357
2022-11-16,MSFT,235.0387420654297,MovingAverage,5,20,1,1,0,1066,187.51881027210038,250738.81785202015,0.0018220586040744724,1.5073881785202015
2022-11-17,MSFT,234.9901428222656,MovingAverage,5,20,1,1,0,1066,187.51881027210038,250687.01105880723,-0.00020661656482523494,1.5068701105880722
2022-11-18,MSFT,234.5428771972656,MovingAverage,5,20,1,1,0,1066,187.51881027210038,250210.22590255723,-0.0019019140809738433,1.5021022590255724
2022-11-21,MSFT,235.3498687744141,MovingAverage,5,20,1,1,0,1066,187.51881027210038,251070.47892379752,0.0034381209566363147,1.510704789237975
2022-11-22,MSFT,238.24740600585935,MovingAverage,5,20,1,1,0,1066,187.51881027210038,254159.25361251817,0.012302420826058702,1.5415925361251817
2022-11-23,MSFT,240.7267913818359,MovingAverage,5,20,1,1,0,1066,187.51881027210038,256802.27842330918,0.010399089441852416,1.5680227842330918
2022-11-25,MSFT,240.63929748535156,MovingAverage,5,20,1,1,0,1066,187.51881027210038,256709.00992965687,-0.00036319184636890434,1.5670900992965686
2022-11-28,MSFT,235.0679168701172,MovingAverage,5,20,1,1,0,1066,187.51881027210038,250769.91819381702,-0.023135501700806138,1.5076991819381704
2022-11-29,MSFT,233.677490234375,MovingAverage,5,20,1,1,0,1066,187.51881027210038,249287.72340011585,-0.005910576533169398,1.4928772340011585
2022-11-30,MSFT,248.0775451660156,MovingAverage,5,20,1,1,0,1066,187.51881027210038,264638.1819572447,0.06157727443517458,1.6463818195724471
2022-12-01,MSFT,247.63999938964844,MovingAverage,5,20,1,1,0,1066,187.51881027210038,264171.75815963733,-0.0017624962284645829,1.6417175815963732
2022-12-02,MSFT,247.9608612060547,MovingAverage,5,20,1,1,0,1066,187.51881027210038,264513.7968559264,0.0012947587534408722,1.645137968559264
2022-12-05,MSFT,243.2742919921875,MovingAverage,5,20,1,1,0,1066,187.51881027210038,259517.91407394398,-0.01888704045446654,1.5951791407394396
2022-12-06,MSFT,238.33489990234375,MovingAverage,5,20,1,1,0,1066,187.51881027210038,254252.52210617054,-0.02028912719402165,1.5425252210617053
2022-12-07,MSFT,237.60565185546875,MovingAverage,5,20,1,1,0,1066,187.51881027210038,253475.1436882018,-0.003057505237427427,1.534751436882018
