Date,Ticker,Close,RSI,Strategy,Buy_Threshold,Sell_Threshold,Raw_Signal,Position,Trade_Shares,Shares,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2024-10-16,AAPL,230.05545043945312,55.54687703298612,RSI,30.0,70.0,1,1,0,774,198.4944667816162,178261.41310691833,-0.00884204889457596,0.7826141310691834
2024-10-17,AAPL,230.42266845703125,55.66230681752843,RSI,30.0,70.0,1,1,0,774,198.4944667816162,178545.6398525238,0.001594437857591835,0.7854563985252381
2024-10-18,AAPL,233.25149536132812,52.76701455427914,RSI,30.0,70.0,1,1,0,774,198.4944667816162,180735.15187644958,0.01226303832305442,0.807351518764496
2024-10-21,AAPL,234.720458984375,66.65579626676556,RSI,30.0,70.0,1,1,0,774,198.4944667816162,181872.12972068787,0.006290850631068823,0.8187212972068787
2024-10-22,AAPL,234.1050720214844,64.70202852692219,RSI,30.0,70.0,1,1,0,774,198.4944667816162,181395.82021141055,-0.002618925230648661,0.8139582021141054
2024-10-23,AAPL,229.0430145263672,57.298515766836154,RSI,30.0,70.0,1,1,0,774,198.4944667816162,177477.78771018982,-0.02159935381451683,0.7747778771018983
2024-10-24,AAPL,228.85443115234375,55.5554951442938,RSI,30.0,70.0,1,1,0,774,198.4944667816162,177331.82417869568,-0.0008224326738425214,0.7733182417869569
2024-10-25,AAPL,229.68820190429688,66.38567218393041,RSI,30.0,70.0,1,1,0,774,198.4944667816162,177977.1627407074,0.0036391581996100264,0.7797716274070741
2024-10-28,AAPL,231.66339111328125,63.837496403455326,RSI,30.0,70.0,1,1,0,774,198.4944667816162,179505.9591884613,0.008589846158977066,0.7950595918846131
2024-10-29,AAPL,231.93136596679688,58.57907819808949,RSI,30.0,70.0,1,1,0,774,198.4944667816162,179713.3717250824,0.0011554632367571926,0.7971337172508239
2024-10-30,AAPL,228.387939453125,51.952888024375056,RSI,30.0,70.0,1,1,0,774,198.4944667816162,176970.75960350037,-0.015261035365679687,0.7697075960350037
2024-10-31,AAPL,224.2291259765625,47.25204297485577,RSI,30.0,70.0,1,1,0,774,198.4944667816162,173751.837972641,-0.018189002737352244,0.73751837972641
2024-11-01,AAPL,221.25144958496097,35.57924275533699,RSI,30.0,70.0,1,1,0,774,198.4944667816162,171447.1164455414,-0.013264444013895704,0.714471164455414
2024-11-04,AAPL,220.3581390380859,28.42562012409482,RSI,30.0,70.0,1,1,0,774,198.4944667816162,170755.6940822601,-0.004032860847215991,0.707556940822601
2024-11-05,AAPL,221.7874298095703,34.46473369286305,RSI,30.0,70.0,1,1,0,774,198.4944667816162,171861.96513938904,0.0064786774056038166,0.7186196513938903
2024-11-06,AAPL,221.06283569335935,32.64632226714784,RSI,30.0,70.0,1,1,0,774,198.4944667816162,171301.12929344174,-0.0032632924073248137,0.7130112929344175
